ID;Marchio;Modello;BatteriaE (kWh)
1;Mitsubishi;OUTLANDER;13.8
2;Mitsubishi;OUTLANDER PHEV;13.8
3;Mitsubishi;I MIEV;16
4;Mitsubishi;I-MIEV;16
5;Nissan;E-NV200;22
6;Nissan;ZE0 /A/A02;24
7;Nissan;LEAF;51
8;Opel;AMPERA ELÈCTRIC;60
9;Peugeot;ION;16
10;Peugeot;PARTNER FG L1;20.5
11;Renault;TWIZY;6.1
12;Renault;TWIZY 45;6.1
13;Renault;FLUENCE;22
14;Renault;FLUENCE Z.E.;22
15;Renault;ZOE 240;22
16;Renault;KANGOO;31
17;Renault;KANGOO EXPRESS ZE;31
18;Renault;KANGOO ZE;31
19;Renault;ZOE;47
20;Smart;BRAUS ELECTRIC;16.7
21;Smart;ELECTRIC DRIVE;16.7
22;Smart;FORFOUR;16.7
23;Smart;FORTWO ELECTRIC;16.7
24;Tesla;MODEL 3;75
25;Tesla;S 90D;90
26;Tesla;MODEL X;100
27;Tesla;S;100
28;Tesla;S 4X4;100
29;toyota;PRIUS PLUG-IN;4.4
30;Vectrix;VX1;8
31;VolkWagen;E-UP!;25.5
32;VolkWagen;E-GOLF;55.7
33;VolkWagen;GOLF;55.7
34;VolkWagen;GOLF GTE;55.7
35;ZERO MOTORCYCLES;DS ZF9;13
36;ZERO MOTORCYCLES;S ZF9;15.3
37;;VOLTA BCN;3.1
38;;Passat PHEV;9.9
39;;XC90 T8 TWIN ENGINE;11.6
40;Audi;A3 E-TRON;8.8
41;Audi;A3 SPORTBACK E-TRON;8.8
42;BMW;225xe;7.6
43;BMW;225xe ACTIVE TOURER;10
44;BMW;225xe iPerformance;10
45;BMW;330e;12
46;BMW;C-EVOLUTION;8.1
47;BMW;E-EVOLUTION;8.1
48;BMW;i3;42.2
49;BMW;i3 REX;42.2
50;BMW;i8;7.1
51;BYD;E6;82
52;Citroen;C-ZERO;14.5
53;Citroen;C-ZERO SEDUCTION;16
54;Citroen;N. BERLINGO;22.5
55;HYUNDAI;IONIQ;28
56;HYUNDAI;KONA;64
57;Jaguar;I-PACE;90
58;KIA;NIRO PHEV;8.9
59;KIA;OPTIMA;10
60;KIA;SOUL EV;30
61;LEMEV;STREAM;4
62;MERCEDES-BENZ;GLC 350 E 4MATIC;13.5
63;MINI;COUNTRYMAN;7.6
